sea_state,vessel_load,port_congestion,engine_efficiency,crew_experience,route_distance_nm,voyage_disruption,extra_fuel_cost_usd
Moderate,Light,High,93,Low,1273,0,4475.88
Calm,Heavy,Medium,87,Experienced,3287,0,8337.94
Rough,Medium,High,79,Low,1698,1,24922.14
Moderate,Heavy,Medium,76,Experienced,2165,1,19005.04
Rough,Light,High,77,Experienced,3425,1,31696.97
Moderate,Medium,Low,75,Experienced,1599,0,4515.9
Moderate,Light,Low,91,Experienced,1354,0,4585.06
Calm,Light,Low,95,Low,1458,0,5642.18
Rough,Heavy,High,70,Low,3429,1,36533.24
Rough,Light,High,73,Experienced,404,0,1568.4
Calm,Medium,High,83,Experienced,552,0,2190.2
Calm,Medium,High,86,Low,594,0,1494.51
Calm,Medium,Low,89,Low,3015,0,10353.85
Moderate,Heavy,Low,87,Experienced,1481,0,4619.62
Rough,Light,Low,80,Low,848,0,3213.73
Calm,Medium,Low,98,Experienced,2978,0,8569.86
Moderate,Heavy,Low,90,Experienced,3438,0,13654.17
Calm,Medium,Medium,95,Low,2077,0,7104.51
Rough,Heavy,Low,83,Low,598,1,19990.65
Moderate,Light,Low,78,Experienced,2048,0,5382.96
Moderate,Medium,Low,96,Experienced,2143,0,5947.23
Calm,Light,Low,84,Experienced,400,0,1455.04
Calm,Heavy,High,81,Low,3427,1,32787.63
Calm,Heavy,High,79,Low,2679,1,33017.85
Calm,Light,High,88,Experienced,3183,0,8024.1
Rough,Medium,Medium,93,Experienced,2074,0,7229.3
Moderate,Light,Low,88,Low,2740,0,8350.54
Rough,Medium,High,75,Experienced,1173,1,28770.9
Rough,Medium,Low,89,Low,2728,1,20735.37
Moderate,Heavy,Low,93,Low,391,0,1178.36
Moderate,Medium,Low,96,Low,746,0,1985.81
Rough,Medium,Low,75,Experienced,408,0,1062.62
Moderate,Light,Low,77,Experienced,616,0,2084.18
Calm,Light,Low,70,Experienced,2135,0,7004.9
Calm,Light,Medium,91,Experienced,2243,0,8104.64
Calm,Light,Low,86,Experienced,1758,0,5739.17
Rough,Heavy,Low,86,Low,741,1,27239.76
Moderate,Medium,High,93,Low,2565,1,22729.0
Calm,Medium,Low,84,Low,1545,0,3923.79
Moderate,Light,Low,76,Low,3020,0,9070.07
Moderate,Heavy,High,88,Experienced,1851,1,22014.78
Calm,Heavy,Low,91,Experienced,577,0,2198.56
Calm,Light,Low,100,Experienced,3356,0,10048.09
Moderate,Heavy,Medium,94,Low,868,1,20155.41
Moderate,Medium,Low,92,Low,1309,0,4936.17
Moderate,Light,Medium,97,Experienced,3222,0,10187.68
Moderate,Medium,High,72,Low,2813,1,18697.96
Rough,Medium,Low,99,Experienced,1138,0,2972.19
Moderate,Light,Medium,99,Experienced,3101,0,10126.59
Moderate,Heavy,Medium,98,Experienced,1907,0,7540.58
Rough,Heavy,Low,91,Experienced,3185,1,28070.13
Calm,Medium,Medium,80,Experienced,329,0,857.5
Calm,Medium,Low,89,Low,2706,0,7533.62
Calm,Medium,Medium,99,Experienced,2242,0,8198.96
Moderate,Medium,Low,98,Low,2433,0,9153.33
Moderate,Medium,Medium,88,Low,1557,0,5335.13
Moderate,Light,Low,78,Experienced,3094,0,10725.77
Calm,Medium,High,79,Experienced,2660,0,6763.07
Calm,Heavy,Low,71,Low,664,0,2485.22
Calm,Medium,Medium,70,Experienced,2100,0,7733.07
Calm,Light,Medium,100,Experienced,2122,0,6129.51
Moderate,Heavy,Medium,99,Experienced,2162,0,7703.24
Calm,Light,Medium,85,Experienced,1204,0,3398.03
Calm,Light,Medium,87,Low,997,0,2552.81
Rough,Light,High,92,Experienced,2478,1,28367.08
Calm,Medium,High,95,Low,3150,1,29278.71
Moderate,Heavy,Low,86,Experienced,3136,0,9428.77
Moderate,Medium,Medium,75,Low,2155,1,31508.63
Calm,Light,High,83,Experienced,650,0,2120.83
Moderate,Heavy,High,92,Low,479,1,11462.85
Rough,Heavy,High,94,Experienced,1803,1,27320.19
Rough,Heavy,Low,84,Low,1486,1,16061.53
Calm,Light,Low,83,Low,2106,0,7176.52
Rough,Medium,Medium,93,Experienced,3467,1,34996.39
Calm,Heavy,Medium,91,Experienced,1073,0,3163.21
Calm,Heavy,Medium,72,Experienced,809,0,3074.53
Calm,Light,Medium,93,Low,664,0,2403.76
Rough,Light,High,92,Experienced,3328,1,26796.93
Calm,Medium,Low,88,Experienced,652,0,2114.09
Calm,Heavy,High,94,Low,3147,1,27303.9
Moderate,Medium,Medium,81,Low,1406,0,4983.33
Calm,Medium,Low,71,Experienced,1548,0,4348.5
Calm,Light,Medium,72,Experienced,711,0,2248.07
Calm,Medium,High,87,Experienced,1034,0,2685.82
Calm,Heavy,Low,98,Experienced,3328,0,12439.94
Calm,Medium,Low,70,Experienced,417,0,1121.28
Calm,Heavy,High,89,Low,781,1,20133.07
Moderate,Heavy,Low,90,Experienced,491,0,1864.01
Calm,Light,Medium,98,Experienced,2938,0,9392.42
Calm,Medium,Medium,75,Low,2937,1,25580.68
Rough,Light,Medium,74,Experienced,3006,1,33530.09
Calm,Heavy,Medium,70,Low,406,1,12267.71
Moderate,Medium,Low,88,Experienced,681,0,2143.59
Calm,Medium,Medium,70,Experienced,1082,0,3980.37
Calm,Heavy,Low,96,Low,2737,0,8741.12
Calm,Medium,Medium,90,Experienced,543,0,2123.92
Calm,Heavy,Low,90,Experienced,2932,0,9469.06
Calm,Medium,Medium,85,Low,3216,1,30676.57
Calm,Light,Low,81,Experienced,767,0,2820.73
Calm,Medium,Low,96,Experienced,1165,0,4348.21
Calm,Heavy,Low,98,Experienced,3281,0,10931.42
Calm,Medium,Low,91,Low,1861,0,5154.41
Calm,Heavy,High,77,Experienced,1533,1,24982.25
Calm,Heavy,Low,95,Low,903,0,3568.75
Moderate,Light,High,85,Experienced,1960,0,7113.78
Moderate,Heavy,High,97,Low,3362,1,34911.21
Calm,Light,Medium,70,Experienced,1396,0,3558.74
Moderate,Light,Low,73,Experienced,2315,0,7412.14
Moderate,Light,Low,79,Experienced,1958,0,6794.13
Calm,Heavy,High,80,Experienced,2033,1,26594.86
Rough,Medium,Low,86,Low,1913,1,29463.1
Rough,Light,Low,94,Low,1159,0,4379.47
Calm,Medium,Medium,96,Experienced,2179,0,7239.95
Calm,Medium,High,92,Experienced,1576,0,4406.45
Moderate,Light,High,76,Low,312,0,928.48
Moderate,Heavy,Low,81,Experienced,2646,0,7733.98
Calm,Heavy,Medium,90,Experienced,1399,0,4611.51
Calm,Medium,Low,76,Experienced,1374,0,3541.52
Calm,Heavy,Low,81,Low,1086,0,2973.26
Calm,Medium,High,84,Low,448,0,1666.13
Moderate,Heavy,Low,71,Low,2054,1,22410.74
Calm,Medium,Low,83,Experienced,2469,0,7036.88
Calm,Medium,Low,82,Experienced,1603,0,5097.63
Moderate,Light,High,73,Experienced,2885,1,29230.86
Calm,Heavy,High,83,Experienced,1479,0,5391.57
Calm,Medium,Medium,83,Experienced,2723,0,8634.63
Moderate,Light,High,85,Experienced,381,0,1403.91
Rough,Light,Low,76,Experienced,791,0,2711.17
Moderate,Medium,Medium,88,Low,2703,1,18183.99
Moderate,Medium,Low,71,Experienced,2325,0,6357.71
Calm,Heavy,Low,79,Experienced,1224,0,3862.39
Calm,Heavy,Medium,87,Low,1596,1,17417.33
Moderate,Light,High,98,Low,1903,0,6879.95
Calm,Heavy,Low,86,Low,3415,1,29697.01
Calm,Light,Low,74,Experienced,3352,0,10331.53
Calm,Heavy,Low,81,Experienced,1896,0,5225.64
Calm,Heavy,Low,75,Experienced,422,0,1198.59
Calm,Medium,High,91,Experienced,1007,0,3386.79
Calm,Heavy,Medium,78,Low,2677,1,25824.53
Calm,Medium,Medium,89,Experienced,1290,0,4221.38
Calm,Medium,High,70,Low,2670,1,24976.34
Rough,Heavy,Low,91,Experienced,3482,1,26380.03
Moderate,Medium,Medium,84,Experienced,3117,0,11778.54
Moderate,Medium,Medium,90,Experienced,2340,0,6755.37
Moderate,Medium,Medium,95,Experienced,3460,0,11200.96
Calm,Heavy,High,75,Experienced,2780,1,34169.75
Calm,Medium,High,88,Low,1009,0,3026.86
Moderate,Light,Low,87,Experienced,1093,0,3708.08
Moderate,Heavy,High,75,Experienced,1011,1,15695.03
Moderate,Heavy,Low,82,Low,3470,1,32019.12
Calm,Light,Low,70,Experienced,2886,0,7603.02
Calm,Light,Low,92,Experienced,2948,0,11611.74
Calm,Light,Low,92,Low,2017,0,7207.74
Calm,Medium,Medium,95,Experienced,556,0,2047.33
Moderate,Medium,Medium,82,Low,1512,0,5376.91
Moderate,Heavy,High,76,Experienced,1170,1,24161.9
Calm,Medium,Medium,84,Low,3246,1,29862.53
Rough,Medium,Medium,81,Experienced,2031,1,29818.22
Moderate,Medium,Low,96,Low,1108,0,4360.26
Calm,Heavy,Low,95,Experienced,3024,0,9823.63
Calm,Medium,Medium,70,Experienced,570,0,2221.46
Calm,Heavy,Medium,84,Experienced,1843,0,6220.12
Calm,Medium,High,73,Experienced,849,0,2808.13
Calm,Light,Low,82,Experienced,1437,0,4572.14
Calm,Medium,Low,92,Low,867,0,2439.68
Calm,Medium,Medium,96,Low,3333,0,8351.1
Calm,Medium,Low,94,Experienced,658,0,1883.37
Rough,Light,Low,74,Experienced,1973,0,6441.03
Calm,Light,Medium,98,Low,1937,0,5946.47
Moderate,Heavy,Low,71,Experienced,1657,0,5257.21
Calm,Light,Medium,92,Low,2012,0,7989.6
Rough,Heavy,Low,95,Low,1662,1,14676.42
Calm,Light,Low,70,Experienced,1097,0,3486.57
Calm,Medium,Low,85,Experienced,1584,0,4277.23
Rough,Medium,High,92,Experienced,1186,1,27004.28
Rough,Medium,Low,75,Experienced,2058,0,7538.69
Moderate,Medium,High,92,Experienced,1522,0,5107.87
Calm,Light,Low,85,Experienced,2558,0,9313.82
Calm,Light,High,83,Low,586,0,1596.73
Moderate,Medium,Low,98,Low,2015,0,6765.85
Rough,Medium,Medium,95,Experienced,2085,0,6005.77
Moderate,Heavy,Medium,72,Experienced,1042,0,2961.46
Moderate,Heavy,High,84,Experienced,1805,1,22983.25
Calm,Heavy,Low,72,Low,2340,1,23349.98
Moderate,Heavy,Low,92,Low,1346,0,3989.41
Calm,Medium,Low,98,Experienced,3480,0,9310.11
Calm,Light,High,71,Low,595,0,2367.38
Calm,Heavy,Medium,70,Experienced,2353,0,6971.82
Moderate,Medium,High,78,Low,2897,1,30997.63
Calm,Medium,Low,78,Low,980,0,2742.65
Calm,Light,Low,92,Experienced,2191,0,7408.99
Moderate,Medium,Low,76,Experienced,1094,0,2840.1
Calm,Medium,High,72,Low,502,1,9957.48
Moderate,Heavy,Medium,95,Low,624,0,2459.96
Calm,Medium,High,100,Experienced,3172,0,9104.02
Calm,Medium,Low,87,Low,2591,0,8226.8
Moderate,Heavy,Medium,80,Experienced,626,0,1585.78
Calm,Light,Medium,76,Experienced,1286,0,4450.93
Calm,Medium,Low,78,Low,3418,0,10667.2
Calm,Light,High,70,Experienced,1060,0,3079.39
Calm,Heavy,High,98,Low,1336,1,12670.77
Rough,Heavy,High,83,Experienced,1206,1,12405.18
Calm,Light,Medium,89,Experienced,1703,0,5320.73
Moderate,Heavy,Low,75,Experienced,664,0,1838.94
Calm,Light,Low,76,Low,1544,0,5455.98
Moderate,Heavy,High,79,Experienced,2420,1,21726.29
Moderate,Heavy,Low,76,Experienced,1948,0,7379.04
Moderate,Heavy,Medium,95,Experienced,1369,0,3663.74
Calm,Light,Medium,71,Experienced,573,0,2107.78
Calm,Heavy,Medium,99,Low,2555,1,25680.04
Calm,Heavy,High,73,Experienced,2252,1,25454.64
Rough,Medium,Low,90,Low,2184,1,22317.45
Moderate,Heavy,Low,99,Low,423,0,1337.66
Rough,Light,Low,97,Experienced,3381,0,13244.99
Calm,Heavy,Medium,86,Low,1652,1,18421.97
Moderate,Light,Low,70,Experienced,2890,0,10011.68
Rough,Heavy,Low,79,Experienced,1991,1,26982.27
Calm,Medium,High,88,Experienced,2407,0,9472.08
Calm,Light,High,100,Experienced,3246,0,9721.65
Moderate,Light,Low,84,Experienced,3233,0,12748.62
Moderate,Light,Low,79,Low,3129,0,12053.62
Moderate,Medium,High,88,Experienced,741,0,2153.03
Calm,Medium,Low,81,Low,1540,0,5706.18
Moderate,Medium,Low,93,Low,1210,0,4832.02
Calm,Light,Low,85,Experienced,1325,0,3814.67
Calm,Light,Medium,78,Experienced,1859,0,5865.45
Calm,Heavy,Low,84,Experienced,2041,0,6695.03
Moderate,Light,High,99,Low,3179,1,30097.52
Moderate,Heavy,Medium,96,Experienced,3355,1,18774.38
Moderate,Heavy,Medium,97,Low,2034,1,14889.29
Calm,Medium,Low,86,Experienced,925,0,2703.69
Rough,Medium,Medium,83,Experienced,1990,1,30568.01
Calm,Heavy,Medium,96,Experienced,1297,0,3575.38
Moderate,Light,High,87,Low,3081,1,27273.55
Calm,Light,High,95,Low,390,0,1387.37
Calm,Light,Medium,71,Low,2514,0,6606.29
Calm,Heavy,High,100,Experienced,3306,1,33601.82
Calm,Light,High,73,Experienced,506,0,1761.13
Moderate,Medium,High,87,Low,1388,1,24243.15
Moderate,Heavy,Low,76,Experienced,2211,0,5537.52
Calm,Heavy,Low,82,Experienced,815,0,2340.6
Rough,Medium,Low,84,Experienced,1480,0,5759.7
Calm,Light,Medium,94,Experienced,2092,0,8155.04
Moderate,Heavy,Medium,92,Experienced,3094,1,33876.05
Rough,Medium,Medium,97,Low,2653,1,27169.79
Moderate,Light,High,91,Low,2201,1,19326.11
Calm,Light,High,100,Low,2305,0,7539.23
Rough,Heavy,High,95,Experienced,694,1,10544.18
Moderate,Medium,Low,70,Experienced,1397,0,3872.24
Calm,Heavy,Medium,80,Experienced,486,0,1805.71
Calm,Heavy,Low,79,Low,1897,0,5126.75
Moderate,Medium,Low,94,Experienced,1891,0,6056.83
Moderate,Medium,Low,74,Low,2970,1,33524.91
Moderate,Medium,Low,85,Low,1029,0,2859.33
Rough,Medium,Medium,80,Experienced,539,0,2138.21
Moderate,Medium,High,90,Experienced,2880,1,34752.97
Calm,Heavy,Low,75,Experienced,440,0,1466.71
Calm,Medium,Medium,78,Experienced,438,0,1206.78
Calm,Heavy,Medium,82,Low,2806,1,20036.87
Moderate,Medium,Low,93,Low,369,0,1157.46
Calm,Medium,Medium,77,Low,684,0,2027.37
Moderate,Medium,Low,83,Experienced,929,0,2713.57
Moderate,Medium,Medium,93,Experienced,2545,0,10073.99
Rough,Heavy,Medium,70,Experienced,504,1,17478.55
Calm,Light,Low,86,Experienced,2049,0,7376.38
Moderate,Medium,Low,93,Low,867,0,2168.03
Calm,Light,Medium,74,Low,1281,0,4348.06
Moderate,Medium,High,94,Experienced,1104,0,4276.8
Calm,Medium,Low,71,Low,2010,0,5893.12
Calm,Medium,Medium,94,Experienced,3206,0,8907.19
Moderate,Heavy,Medium,97,Experienced,1181,0,4106.95
Calm,Medium,High,99,Experienced,2335,0,8333.39
Calm,Heavy,High,93,Low,1273,1,18151.46
Moderate,Medium,Medium,78,Low,939,0,2797.26
Moderate,Medium,Medium,73,Experienced,1754,0,5048.54
Moderate,Light,High,86,Experienced,624,0,2454.74
Moderate,Light,Low,86,Experienced,741,0,2878.75
Moderate,Medium,Low,90,Experienced,1103,0,3514.13
Calm,Medium,Low,87,Experienced,2635,0,9932.08
Calm,Light,High,85,Experienced,525,0,1668.7
Calm,Light,High,99,Low,1387,0,4350.44
Rough,Light,Low,77,Experienced,1266,0,3462.69
Moderate,Heavy,Medium,95,Low,3285,1,18453.41
Calm,Medium,Medium,80,Low,859,0,2839.96
Calm,Medium,Low,90,Experienced,1013,0,2566.7
Rough,Light,High,90,Experienced,797,0,2523.44
Calm,Medium,Low,87,Experienced,3196,0,11735.82
Moderate,Light,Low,92,Experienced,3273,0,11521.19
Moderate,Light,Medium,98,Experienced,2407,0,8310.73
Moderate,Medium,Medium,93,Experienced,556,0,2148.57
Calm,Light,Low,79,Experienced,876,0,2213.69
Rough,Light,Medium,82,Experienced,2586,0,8625.79
Rough,Light,Medium,86,Experienced,337,0,1240.5
Moderate,Light,Low,87,Experienced,2372,0,7856.07
Moderate,Light,Low,79,Experienced,709,0,2116.96
Rough,Medium,Medium,85,Low,760,1,25247.35
Moderate,Heavy,Low,89,Experienced,3335,0,12777.53
Calm,Medium,High,74,Low,1740,1,23144.79
Moderate,Medium,High,82,Experienced,2704,1,20017.06
Moderate,Light,High,87,Low,682,0,2304.33
Calm,Heavy,Low,86,Experienced,2132,0,7486.07
Moderate,Medium,High,78,Experienced,868,0,3217.15
Rough,Light,Medium,83,Low,1371,1,22271.33
Rough,Medium,Low,86,Low,732,0,2267.06
Calm,Light,Low,98,Low,355,0,1161.01
Calm,Medium,Low,100,Experienced,2924,0,10832.16
Rough,Medium,Medium,73,Low,2615,1,16019.18
Moderate,Heavy,Medium,87,Low,2416,1,28318.11
Calm,Medium,Low,96,Low,2051,0,5421.89
Rough,Heavy,Medium,89,Experienced,2347,1,30855.82
Rough,Heavy,Low,93,Low,1201,1,18990.01
Moderate,Light,Medium,93,Experienced,1924,0,6680.73
Moderate,Light,Low,84,Low,3140,0,9796.15
Calm,Medium,High,80,Experienced,556,0,1728.29
Calm,Medium,High,81,Low,971,0,3417.27
Calm,Medium,Medium,78,Experienced,789,0,2051.91
Moderate,Heavy,Low,82,Low,3093,1,31665.24
Calm,Heavy,Low,84,Experienced,2396,0,8764.68
Calm,Medium,High,96,Experienced,1982,0,7417.28
Calm,Medium,Low,84,Experienced,615,0,1694.81
Moderate,Heavy,Low,97,Experienced,2760,0,10615.31
Rough,Heavy,Low,74,Experienced,733,0,2553.93
Calm,Heavy,Medium,92,Experienced,1325,0,5065.19
Calm,Light,Medium,88,Experienced,2275,0,7343.52
Moderate,Medium,High,95,Low,2279,1,26665.55
Calm,Light,Low,89,Experienced,1689,0,6550.88
Calm,Light,Low,95,Experienced,719,0,2768.05
Calm,Light,High,94,Low,1896,0,6014.57
Calm,Medium,High,95,Low,1884,0,5485.49
Calm,Medium,Low,95,Low,1143,0,3531.59
Calm,Light,Medium,83,Experienced,1767,0,5445.27
Calm,Medium,Low,97,Low,3263,0,9561.57
Rough,Medium,High,86,Low,733,1,15291.06
Calm,Medium,Low,87,Low,2990,0,11336.87
Moderate,Light,High,90,Experienced,1878,0,4891.8
Moderate,Medium,Medium,72,Experienced,2404,0,8453.47
Calm,Heavy,Medium,71,Low,1263,1,19001.53
Moderate,Light,Low,70,Low,1276,0,3849.38
Calm,Light,Medium,79,Low,345,0,894.35
Rough,Medium,Medium,88,Experienced,1493,0,4337.11
Calm,Heavy,Low,86,Experienced,716,0,2615.28
Calm,Medium,Medium,81,Experienced,1147,0,4390.17
Calm,Medium,High,70,Low,2486,1,23490.48
Rough,Medium,Medium,81,Experienced,546,0,1744.65
Moderate,Medium,Medium,86,Experienced,529,0,1695.7
Moderate,Light,Low,93,Low,1091,0,4157.11
Calm,Medium,Medium,100,Low,936,0,3410.97
Moderate,Heavy,Low,72,Experienced,2721,0,8896.62
Calm,Medium,Medium,80,Experienced,3451,0,12099.62
Rough,Heavy,High,86,Experienced,1037,1,15672.26
Calm,Heavy,Medium,92,Experienced,1388,0,3489.86
Calm,Light,Low,95,Experienced,387,0,1201.38
Calm,Heavy,Low,72,Low,3459,1,35753.94
Calm,Light,Medium,77,Experienced,1012,0,3653.8
Moderate,Medium,Medium,89,Experienced,2049,0,6790.92
Calm,Light,High,73,Low,1527,0,5030.65
Moderate,Light,High,90,Experienced,2236,0,6756.42
Calm,Medium,Medium,91,Low,1705,0,5593.73
Moderate,Light,Low,76,Low,900,0,3134.77
Calm,Medium,Low,83,Experienced,1799,0,5626.45
Calm,Medium,Low,83,Experienced,2886,0,10306.57
Moderate,Light,Low,73,Experienced,513,0,1945.22
Calm,Light,Medium,85,Low,2421,0,6614.24
Calm,Medium,Medium,93,Experienced,2408,0,7650.99
Rough,Medium,Medium,98,Experienced,997,0,3102.69
Rough,Heavy,Low,91,Experienced,1542,0,5445.11
Calm,Medium,Low,99,Experienced,2359,0,6781.66
Calm,Heavy,Low,70,Experienced,3161,0,10938.25
Moderate,Medium,Low,86,Low,2379,0,9078.82
Calm,Medium,High,94,Experienced,1483,0,4637.63
Calm,Medium,Low,79,Low,1300,0,5026.48
Calm,Light,Medium,91,Low,536,0,2138.5
Moderate,Medium,Low,85,Experienced,1504,0,3999.34
Moderate,Heavy,High,85,Experienced,2905,1,17880.16
Calm,Medium,Medium,95,Low,1781,0,6991.44
Calm,Heavy,Low,77,Experienced,1403,0,5524.3
Calm,Heavy,Medium,98,Low,946,0,2503.65
Moderate,Heavy,Medium,76,Experienced,3334,1,18011.58
Calm,Heavy,High,97,Experienced,3167,1,29505.61
Calm,Medium,Low,75,Experienced,772,0,3083.38
Moderate,Medium,High,85,Low,411,1,13377.86
Calm,Medium,High,89,Experienced,2145,0,6979.45
Moderate,Medium,High,85,Experienced,1954,0,7371.71
Calm,Medium,Medium,76,Experienced,682,0,1725.87
Calm,Heavy,Medium,78,Experienced,316,0,1076.53
Calm,Medium,Medium,83,Experienced,792,0,2309.11
Moderate,Medium,High,80,Low,3273,1,34811.44
Rough,Light,Medium,95,Experienced,2196,0,6423.72
Moderate,Medium,Medium,95,Experienced,1809,0,6386.01
Calm,Light,Medium,83,Low,416,0,1460.71
Moderate,Heavy,Medium,76,Experienced,1878,1,17268.65
Calm,Medium,High,70,Low,1179,1,21616.12
Calm,Light,Low,95,Experienced,2462,0,7666.36
Rough,Light,High,94,Experienced,2118,1,14884.45
Calm,Medium,Medium,82,Low,1872,0,6951.61
Calm,Medium,High,89,Experienced,3161,0,11697.43
Calm,Medium,Medium,100,Low,1948,0,6205.42
Calm,Light,Low,72,Experienced,943,0,3215.41
Calm,Medium,High,89,Low,1659,1,23059.5
Moderate,Medium,Low,73,Experienced,635,0,2375.37
Calm,Medium,High,98,Low,3269,1,26234.65
Rough,Medium,Medium,95,Experienced,446,0,1299.27
Moderate,Medium,Medium,80,Experienced,421,0,1219.87
Calm,Light,Low,71,Low,380,0,1255.63
Calm,Heavy,Medium,83,Experienced,3032,0,9622.73
Calm,Medium,Low,81,Experienced,3009,0,9508.99
Moderate,Medium,Low,99,Experienced,2722,0,7177.11
Calm,Light,Low,86,Low,2410,0,8622.75
Moderate,Medium,Low,81,Experienced,803,0,2264.95
Calm,Light,High,95,Low,967,0,2703.18
Moderate,Medium,High,81,Low,2796,1,20804.97
Calm,Heavy,Low,70,Experienced,3215,0,9135.96
Calm,Medium,Medium,82,Low,1744,0,5887.37
Rough,Light,Low,83,Low,1645,0,5029.09
Moderate,Light,Medium,93,Low,3027,0,9605.78
Calm,Medium,High,99,Low,1489,0,4922.27
Rough,Light,High,71,Low,1920,1,17326.62
Calm,Light,Medium,81,Experienced,2280,0,6232.67
Rough,Heavy,High,95,Low,1972,1,29710.87
Moderate,Medium,Low,90,Experienced,2808,0,8846.84
Calm,Light,High,97,Low,758,0,2363.55
Calm,Heavy,Low,85,Experienced,1512,0,3860.77
Calm,Light,Medium,73,Low,763,0,2477.43
Moderate,Heavy,Medium,77,Experienced,1211,0,4034.15
Moderate,Medium,Medium,71,Experienced,2726,0,9100.1
Calm,Heavy,Low,79,Low,1325,0,4717.72
Calm,Medium,High,78,Experienced,2711,0,7499.23
Moderate,Heavy,Low,92,Experienced,371,0,1067.86
Rough,Heavy,Medium,84,Low,1750,1,22282.91
Moderate,Light,Low,82,Experienced,2985,0,11703.46
Calm,Heavy,Low,92,Experienced,1493,0,4036.92
Calm,Medium,Medium,86,Experienced,2148,0,6973.43
Calm,Medium,Medium,99,Low,2684,0,7572.27
Rough,Medium,Low,85,Experienced,2322,0,6014.23
Calm,Medium,Low,97,Experienced,2542,0,7596.14
Moderate,Light,Medium,71,Experienced,1311,0,3560.06
Calm,Medium,High,89,Experienced,952,0,3393.78
Moderate,Medium,High,89,Low,1598,1,23927.28
Moderate,Heavy,Low,96,Experienced,306,0,831.02
Moderate,Heavy,Low,83,Low,1204,0,3026.69
Calm,Medium,Low,72,Low,3326,0,12346.9
Calm,Medium,Low,92,Experienced,2328,0,6435.27
Calm,Light,Medium,81,Experienced,2913,0,9931.36
Rough,Light,Medium,77,Low,915,1,21630.75
Rough,Light,Low,71,Experienced,2173,0,7340.89
Moderate,Medium,Low,73,Experienced,2920,0,8682.56
Moderate,Light,Low,83,Experienced,2946,0,7749.19
Moderate,Heavy,High,85,Experienced,1069,1,13929.53
Calm,Medium,High,88,Experienced,2589,0,7202.83
Rough,Medium,Low,71,Low,1866,1,24579.84
Calm,Medium,Low,81,Low,1785,0,6225.05
Calm,Light,High,98,Experienced,3451,0,9993.09
Moderate,Medium,High,83,Low,1740,1,27488.43
Calm,Medium,Medium,75,Experienced,1065,0,3491.5
Calm,Medium,Low,82,Experienced,683,0,2328.1
Moderate,Medium,Low,73,Experienced,2738,0,10799.51
Calm,Heavy,Medium,91,Low,3243,1,31940.09
Moderate,Heavy,Low,87,Experienced,987,0,3165.07
Calm,Medium,Low,81,Experienced,1449,0,4868.79
Calm,Medium,Medium,89,Experienced,346,0,1346.58
Calm,Medium,Low,96,Low,2272,0,8503.11
Calm,Light,High,91,Experienced,2966,0,8851.93
Moderate,Medium,Low,99,Experienced,763,0,2179.04
Calm,Light,Low,90,Experienced,2172,0,6285.66
Moderate,Medium,Medium,88,Experienced,422,0,1374.3
Calm,Medium,Low,77,Low,2481,0,8971.48
Moderate,Light,High,76,Low,1942,1,17163.21
Rough,Heavy,Medium,85,Experienced,1140,1,11449.71
Moderate,Heavy,Low,88,Experienced,1885,0,6758.42
Calm,Heavy,Medium,75,Experienced,3196,1,36445.53
Calm,Medium,Low,89,Low,2954,0,8667.77
Calm,Heavy,High,96,Low,2103,1,17369.63
Moderate,Light,Low,90,Low,322,0,1011.04
Calm,Heavy,Medium,80,Low,865,0,3316.13
Calm,Light,Low,74,Experienced,2209,0,8323.15
Moderate,Heavy,Medium,85,Experienced,3113,1,28818.77
Calm,Light,High,76,Low,1264,0,4471.09
Moderate,Heavy,High,96,Low,2582,1,27088.18
Calm,Heavy,Low,74,Low,1295,0,4200.43
Calm,Light,Low,80,Experienced,3430,0,10186.68
Moderate,Medium,High,84,Low,1487,1,25725.18
Calm,Heavy,High,72,Experienced,2094,1,30331.77
Moderate,Medium,Low,95,Experienced,1125,0,3468.15
Calm,Heavy,Medium,74,Experienced,515,0,1956.27
Calm,Medium,Low,92,Experienced,956,0,3428.82
Moderate,Medium,High,90,Experienced,3282,1,30208.4
Moderate,Light,Low,74,Experienced,1413,0,3987.65
Moderate,Light,Low,78,Low,2287,0,6938.65
Calm,Heavy,High,84,Experienced,610,0,1784.96
Moderate,Medium,Low,72,Experienced,856,0,2366.1
Calm,Medium,Medium,98,Low,3319,0,11998.18
Calm,Medium,Medium,75,Experienced,2604,0,7494.58
Rough,Medium,Low,86,Low,2880,1,25215.93
Calm,Heavy,Low,95,Experienced,1856,0,5714.23
Rough,Heavy,Medium,90,Experienced,351,0,1394.56
Calm,Medium,Low,77,Experienced,1661,0,5126.91
Calm,Heavy,Medium,90,Experienced,1494,0,3914.24
Moderate,Heavy,High,94,Experienced,3438,1,31192.31
Rough,Medium,High,80,Experienced,1948,1,19263.91
Moderate,Heavy,Low,75,Experienced,2647,0,8997.27
Moderate,Light,Low,77,Experienced,971,0,3037.42
Moderate,Light,Low,79,Experienced,1077,0,3390.14
Moderate,Heavy,Low,93,Experienced,1131,0,2919.0
Moderate,Medium,Medium,98,Experienced,2579,0,8445.76
Calm,Heavy,Medium,72,Experienced,3322,1,35258.86
Calm,Heavy,Low,92,Experienced,2160,0,5884.54
Calm,Light,Low,83,Experienced,3439,0,9133.16
Rough,Heavy,Low,92,Low,1829,1,29642.33
